"";"id";"attributes.externalId";"attributes.commercialFollowUp";"attributes.centroidLongitude";"attributes.centroidLatitude"
"881";22045;2662;"Follow up";2,30878;48,789354
"882";22043;2661;"Follow up";2,156228;48,680533
"883";22041;2660;"Follow up";2,385244;48,844678
"884";22039;2659;"Follow up";2,25601;48,73133
"885";21685;2005;"Follow up";-1,285978;47,001536
"886";21705;2028;"Follow up";4,872356;46,036384
"887";21285;1683;"To finance";25,105228;-33,429116
"888";21513;1860;"Follow up";4,100471;47,012141
"889";21547;1900;"Follow up";1,793513;48,859851
"890";21779;2089;"Follow up";5,72241;46,99352
"891";21657;1983;"Follow up";-1,326857;46,782004
"892";21727;2043;"Follow up";-1,856303;46,861864
"893";22037;2658;"Follow up";-1,554093;46,496723
"894";22035;2657;"Follow up";2,347905;48,47852
"895";22033;2656;"Follow up";2,342507;48,744283
"896";21715;2033;"Follow up";3,213326;47,179941
"897";22031;2655;"Follow up";3,106054;48,738081
"898";21675;1997;"Follow up";-0,98612;46,636136
"899";22029;2654;"Follow up";4,957222;48,577389
"900";21369;1725;"Follow up";0,414133;47,368049
"901";21531;1876;"Follow up";5,03;48,85
"902";22027;2653;"Follow up";10,989911;42,723021
"903";21741;2064;"Follow up";11,547103;43,813153
"904";22025;2652;"Follow up";2,136434;45,076334
"905";22023;2651;"Follow up";2,177028;44,922611
"906";21487;1834;"Follow up";-1,356415;46,962617
"907";21767;2080;"Follow up";11,254815;44,110797
"908";21537;1889;"Follow up";7,326628;48,707149
"909";21603;1938;"Follow up";2,866641;50,661723
"910";21551;1902;"Follow up";0,103007;47,768682
"911";22021;2650;"Follow up";1,545343;43,546113
